county name,x location,y location
Fremont,1,1
Page,2,1
Taylor,3,1
Ringgold,4,1
Decatur,5,1
Wayne,6,1
Appanoose,7,1
Davis,8,1
Van Buren,9,1
Lee,10,1
Mills,1,2
Montgomery,2,2
Adams,3,2
Union,4,2
Clarke,5,2
Lucas,6,2
Monroe,7,2
Wapello,8,2
Jefferson,9,2
Henry,10,2
Des Moines,11,2
Pottawattamie,1,3
Cass,3,3
Adair,4,3
Madison,5,3
Warren,6,3
Marion,7,3
Mahaska,8,3
Keokuk,9,3
Washington,10,3
Louisa,11,3
Harrison,1,4
Shelby,2,4
Audubon,3,4
Guthrie,4,4
Dallas,5,4
Polk,6,4
Jasper,7,4
Poweshiek,8,4
Iowa,9,4
Johnson,10,4
Muscatine,11,4
Scott,12,4
Cedar,11,4.5
Clinton,12,4.5
Monona,1,5
Crawford,2,5
Carroll,3,5
Greene,4,5
Boone,5,5
Story,6,5
Marshall,7,5
Tama,8,5
Benton,9,5
Linn,10,5
Jones,11,5
Jackson,12,5
Woodbury,1,6
Ida,2,6
Sac,3,6
Calhoun,4,6
Webster,5,6
Hamilton,6,6
Hardin,7,6
Grundy,8,6
Black Hawk,9,6
Buchanan,10,6
Delaware,11,6
Dubuque,12,6
Plymouth,1,7
Cherokee,2,7
Buena Vista,3,7
Pocahontas,4,7
Humboldt,5,7
Wright,6,7
Franklin,7,7
Butler,8,7
Bremer,9,7
Fayette,10,7
Clayton,11,7
Sioux,1,8
Oâ€™Brien,2,8
Clay,3,8
Palo Alto,4,8
Hancock,6,8
Cerro Gordo,7,8
Floyd,8,8
Chickasaw,9,8
Lyon,1,9
Osceola,2,9
Dickinson,3,9
Emmet,4,9
Kossuth,5,9
Winnebago,6,9
Worth,7,9
Mitchell,8,9
Howard,9,9
Winneshiek,10,9
Allamakee,11,9